Time,Strain
0,0
1,2.83651E-06
2,5.67292E-06
3.099999905,8.79301E-06
4.309999943,1.22249E-05
5.640999794,1.59998E-05
7.105100155,2.01524E-05
8.71560955,2.47197E-05
10.48717117,2.97437E-05
12.43588829,3.527E-05
14.57947731,4.13487E-05
16.93742371,4.80339E-05
19.53116798,5.53884E-05
22.38428307,6.3478E-05
25.52271271,7.23751E-05
28.97498322,8.21617E-05
32.77248001,9.29269E-05
36.94972992,0.000104766
41.54470444,0.000117789
46.5991745,0.000132111
52.15909195,0.000147865
58.27499771,0.000165191
65.00250244,0.000184249
72.40274811,0.000205208
80.54302216,0.000228258
89.49732971,0.000253608
99.34706116,0.000281491
110.1817627,0.000312152
116.1408539,0.000329012
122.6958542,0.000347558
129.9063416,0.000367955
137.8378906,0.00039039
146.5625916,0.00041507
151.3611755,0.000428645
156.6396179,0.000443582
162.4459076,0.000460038
168.8328247,0.000478142
175.8584442,0.000498077
179.7225189,0.000509041
183.9730225,0.000521105
188.6485596,0.000534386
193.7916565,0.00054901
199.4490662,0.00056513
205.6722107,0.000582931
209.0949402,0.000592769
212.8599548,0.000603682
217.0014496,0.0006159
221.5571136,0.000629855
224.0627136,0.000637842
226.8188934,0.000647022
229.8506775,0.000657727
231.518158,0.000663956
233.3524017,0.000671282
235.1866302,0.000679241
237.0208588,0.000688034
237.937973,0.000692774
238.8550873,0.000697853
239.8639221,0.000703862
240.8727417,0.000710321
241.8815765,0.000717253
242.8903961,0.000724748
243.899231,0.000732837
244.4036407,0.000737112
244.9080505,0.000741545
245.4629059,0.00074666
246.0732574,0.00075255
246.2411041,0.000754154
246.4257202,0.000755986
246.6288147,0.000758028
246.8522186,0.000760317
247.0979614,0.000762895
247.3682709,0.000765793
247.6656189,0.000769055
247.992691,0.000772722
248.352478,0.00077686
248.7482452,0.000781551
249.1835938,0.000786857
249.6624756,0.000792883
250.1892395,0.000799719
250.7686768,0.000807498
251.4060669,0.000816378
252.107193,0.000826546
252.8784332,0.00083821
253.0905151,0.00084136
253.323822,0.000844963
253.5804443,0.000848984
253.8627319,0.00085349
254.1732635,0.000858543
254.5148315,0.00086422
254.890564,0.000870578
255.3038635,0.000877728
255.7584991,0.000885749
256.258606,0.000894777
256.8087158,0.000904925
257.4138184,0.000916397
258.0794678,0.000929258
258.8116455,0.000943893
259.6170654,0.000960135
260.5030212,0.000979142
260.7466431,0.00098405
261.0146484,0.000989679
261.3094482,0.000995911
261.633728,0.001002913
261.990448,0.001010661
262.3828125,0.001019343
262.8144531,0.001028931
263.2892151,0.0010397
263.8114929,0.00105154
264.3859558,0.001064922
265.0178833,0.001079425
265.1916809,0.001083511
265.382843,0.001088018
265.5931091,0.001092986
265.8244019,0.001098488
266.0788574,0.001104554
266.3587341,0.001111264
266.6665955,0.001118685
267.005249,0.001126885
267.3777466,0.001135988
267.7875366,0.00114606
268.2382813,0.001157217
268.7341003,0.001169606
269.27948,0.001183321
269.879425,0.001198566
270.5393677,0.001215495
271.2652893,0.001234288
272.0638123,0.001255253
272.9421692,0.001278426
273.1837463,0.001284818
273.4494324,0.00129191
273.7417297,0.001299728
274.0632324,0.0013084
274.4168701,0.001317975
274.8059082,0.001328592
275.2338257,0.001340332
275.7045593,0.001353324
276.2223511,0.001367725
276.7919006,0.001383664
276.9485474,0.001388038
277.1208191,0.001392879
277.3103638,0.001398201
277.5188293,0.001404089
277.7481689,0.001410594
278.0004272,0.001417756
278.2778931,0.001425673
278.5831299,0.001434405
278.9188843,0.001444069
279.288208,0.001454744
279.694458,0.001466558
280.1413574,0.001479608
280.6329346,0.001494069
281.1736755,0.001510061
281.7684631,0.001527796
282.42276,0.00154744
283.1424866,0.001569248
283.9341736,0.001593437
284.151886,0.001600058
284.3913574,0.00160739
284.6547852,0.001615482
284.9445801,0.001624443
285.2633362,0.001634307
285.6139526,0.00164524
285.9996643,0.001657307
286.4239197,0.001670673
286.8905945,0.001685436
287.4039612,0.001701795
287.9686584,0.001719847
288.5898132,0.001739969
289.2731018,0.00176211
289.4609985,0.001768197
289.6676941,0.001774952
289.89505,0.001782382
290.1451721,0.001790596
290.4202576,0.00179966
290.7228699,0.001809663
291.0557556,0.001820723
291.421936,0.001832929
291.824707,0.001846427
292.2677917,0.001861327
292.7551575,0.001877817
293.2912598,0.001896089
293.8809814,0.001916305
294.5296631,0.001938728
295.2432251,0.00196356
296.0281372,0.001991172
296.8915405,0.002021721
297.8412781,0.002056003
298.102478,0.002065276
298.3897705,0.002075525
298.70578,0.002086883
299.0534363,0.002099476
299.4358215,0.002113407
299.8564453,0.002128825
300.3191528,0.002145842
300.828125,0.002164733
301.38797,0.00218564
302.0038147,0.002208781
302.6812439,0.002234437
303.4264221,0.00226292
304.2461243,0.00229455
304.4715576,0.002303155
304.7195129,0.002312736
304.9922485,0.002323315
305.2922974,0.002334983
305.6223145,0.002347875
305.9853516,0.002362155
306.3847046,0.002377916
306.8239746,0.002395332
307.3071594,0.002414624
307.8386841,0.002435968
308.4233398,0.002459605
309.0664978,0.002485815
309.7739563,0.002514818
310.5521545,0.002547161
311.4081726,0.002582726
312.3497925,0.002623186
312.6087341,0.002633931
312.8935547,0.002645861
313.2068787,0.002659099
313.5515442,0.002673783
313.9306641,0.002690028
314.3476868,0.002707996
314.806427,0.002727912
315.3110352,0.002749946
315.8661194,0.00277437
316.4766846,0.002801372
317.1483459,0.002831426
317.887146,0.002864543
318.6998291,0.002901842
319.5937805,0.002941846
