Date/Clock time,45685.4,,,,,,,,,
Tester,Mehdi,,,,,,,,,
Specimen designation,316H-elg_280MPa_550C_01,,,,,,,,,
Diameter,6.059,mm,,,,,,,,
Material,316H-elg,,,,,,,,,
Load cell,100kN,,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,,
"Gauge length, standard travel",25,mm,,,,,,,,
Test standard,ASTM E136,,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,,
h,h,%,MPa,°C,°C,,,,,
3.51323,3.51291,0,1.87015,548.812,550.359,,,,,
3.51333,3.51301,6.63E-05,2.23484,548.812,550.359,,,,,
3.51336,3.51304,-0.000281737,2.60069,548.812,550.359,,,,,
3.5134,3.51308,-0.00017067,2.97182,548.812,550.359,,,,,
3.51344,3.51312,-0.000507316,3.33336,548.812,550.349,,,,,
3.51347,3.51315,-0.000697853,3.69566,548.812,550.349,,,,,
3.51351,3.51319,-0.000638045,4.06193,548.807,550.349,,,,,
3.51354,3.51322,-0.000839428,4.42892,548.807,550.349,,,,,
3.51358,3.51326,-0.000418081,4.78702,548.807,550.349,,,,,
3.51362,3.5133,-0.000405605,5.14409,548.807,550.349,,,,,
3.51365,3.51333,-0.000480144,5.50813,548.807,550.349,,,,,
3.51369,3.51337,-0.000465089,5.8709,548.807,550.348,,,,,
3.51373,3.51341,-0.00054528,6.22759,548.807,550.348,,,,,
3.51376,3.51344,-0.000510859,6.58703,548.818,550.348,,,,,
3.5138,3.51348,-0.000535258,6.95184,548.818,550.348,,,,,
3.51383,3.51351,-0.000726114,7.30422,548.818,550.348,,,,,
3.51387,3.51355,-0.000482223,7.6767,548.818,550.348,,,,,
3.5139,3.51358,-0.000724387,8.04615,548.818,550.348,,,,,
3.51393,3.51361,-0.000506789,8.40405,548.818,550.348,,,,,
3.51396,3.51364,-0.000526068,8.77662,548.818,550.348,,,,,
3.51399,3.51367,-0.000743322,9.13026,548.818,550.357,,,,,
3.51402,3.5137,-0.000637462,9.50677,548.818,550.357,,,,,
3.51405,3.51373,-0.000549362,9.89219,548.809,550.357,,,,,
3.51407,3.51375,-0.000432925,10.2509,548.809,550.357,,,,,
3.5141,3.51378,-0.000353113,10.6321,548.809,550.357,,,,,
3.51412,3.5138,-0.000262162,11.0217,548.809,550.357,,,,,
3.51414,3.51382,-2.51E-05,11.3715,548.809,550.357,,,,,
3.51417,3.51385,0.000111104,11.7352,548.809,550.357,,,,,
3.51419,3.51387,0.000173368,12.1117,548.809,550.357,,,,,
3.51421,3.51389,0.000337523,12.4966,548.809,550.357,,,,,
3.51423,3.51391,0.000487606,12.8906,548.809,550.357,,,,,
3.51425,3.51393,0.000782182,13.24,548.809,550.365,,,,,
3.51427,3.51395,0.000726726,13.5914,548.809,550.365,,,,,
3.51429,3.51397,0.000887074,13.9428,548.809,550.365,,,,,
3.51431,3.51399,0.00113846,14.3124,548.809,550.365,,,,,
3.51433,3.51401,0.00114806,14.6846,548.809,550.365,,,,,
3.51435,3.51403,0.00163852,15.054,548.809,550.365,,,,,
3.51437,3.51405,0.00184856,15.44,548.809,550.365,,,,,
3.51439,3.51407,0.00215852,15.8335,548.809,550.365,,,,,
3.51441,3.51409,0.00275096,16.2333,548.809,550.365,,,,,
3.51443,3.51411,0.00282858,16.6332,548.809,550.365,,,,,
3.51445,3.51413,0.00344159,17.0311,548.809,550.365,,,,,
3.51447,3.51415,0.00369764,17.4342,548.809,550.365,,,,,
3.51448,3.51416,0.00407901,17.7897,548.809,550.365,,,,,
3.5145,3.51418,0.00420295,18.1553,548.809,550.365,,,,,
3.51452,3.5142,0.00428423,18.5149,548.809,550.374,,,,,
3.51453,3.51421,0.00468027,18.8774,548.809,550.374,,,,,
3.51455,3.51423,0.00511435,19.2441,548.809,550.374,,,,,
3.51457,3.51425,0.00521782,19.6079,548.809,550.374,,,,,
3.51458,3.51426,0.00533071,19.9769,548.814,550.374,,,,,
3.5146,3.51428,0.00573208,20.3481,548.814,550.374,,,,,
3.51462,3.5143,0.00617656,20.7168,548.814,550.374,,,,,
3.51463,3.51431,0.00635456,21.0867,548.814,550.374,,,,,
3.51465,3.51433,0.00645177,21.4541,548.814,550.374,,,,,
3.51467,3.51435,0.00677362,21.823,548.814,550.374,,,,,
3.51468,3.51436,0.00727225,22.1946,548.814,550.374,,,,,
3.5147,3.51438,0.00750484,22.5689,548.814,550.374,,,,,
3.51472,3.5144,0.00769261,22.9372,548.814,550.374,,,,,
3.51473,3.51441,0.00801156,23.3032,548.814,550.374,,,,,
3.51475,3.51443,0.00843043,23.6775,548.814,550.374,,,,,
3.51477,3.51445,0.00869296,24.0465,548.814,550.374,,,,,
3.51478,3.51446,0.0087949,24.4092,548.814,550.374,,,,,
3.5148,3.51448,0.00906842,24.7879,548.814,550.37,,,,,
3.51482,3.5145,0.00939881,25.1676,548.814,550.37,,,,,
3.51483,3.51451,0.00970868,25.554,548.814,550.37,,,,,
3.51485,3.51453,0.00984494,25.9376,548.814,550.37,,,,,
3.51487,3.51455,0.00991019,26.3067,548.814,550.37,,,,,
3.51488,3.51456,0.010233,26.6867,548.823,550.37,,,,,
3.5149,3.51458,0.0105405,27.0706,548.823,550.37,,,,,
3.51492,3.5146,0.0106266,27.4574,548.823,550.37,,,,,
3.51493,3.51461,0.0107014,27.8401,548.823,550.37,,,,,
3.51495,3.51463,0.0109456,28.2099,548.823,550.37,,,,,
3.51497,3.51465,0.0112915,28.5815,548.823,550.37,,,,,
3.51498,3.51466,0.0114518,28.9656,548.823,550.37,,,,,
3.515,3.51468,0.0115189,29.3492,548.823,550.37,,,,,
3.51502,3.5147,0.0117546,29.7327,548.823,550.37,,,,,
3.51503,3.51471,0.0121546,30.1143,548.823,550.37,,,,,
