Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
0.000560979,0.000277778,0.289741,3.68459,22.6128,22.4333,,,,
0.00419987,0,0.00E+00,4.0608,22.6074,22.4246,,,,
0.00441653,0.000216667,-0.000585037,3.7078,22.6049,22.4269,,,,
0.00452487,0.000325,-0.0011664,3.35253,22.6049,22.4269,,,,
0.00462765,0.000427778,-0.00182298,3.00232,22.6032,22.4326,,,,
0.00473876,0.000538889,-0.00229092,2.65035,22.6032,22.4326,,,,
0.00485542,0.000655556,-0.00305146,2.29853,22.6032,22.4326,,,,
0.0514276,0.0472278,-0.00645152,1.94926,22.5448,22.366,,,,
0.134761,0.130561,-0.00839485,1.97913,22.6443,22.4905,,,,
0.218094,0.213894,-0.00014207,1.97306,30.4011,29.6847,,,,
0.301428,0.297228,0.0134191,1.96478,45.7954,44.0964,,,,
0.384761,0.380561,0.0324315,1.96334,66.4818,63.4119,,,,
0.468094,0.463894,0.0592277,1.96459,91.2057,87.7154,,,,
0.551428,0.547228,0.0899856,1.96185,118.216,113.776,,,,
0.634761,0.630561,0.12767,1.95265,146.471,143.227,,,,
0.718094,0.713894,0.173709,1.9535,175.24,173.023,,,,
0.801428,0.797228,0.222717,1.9497,203.307,201.742,,,,
0.884761,0.880561,0.279387,1.95121,241.242,243.027,,,,
0.968094,0.963894,0.321098,1.95752,260.609,265.957,,,,
1.05143,1.04723,0.367587,1.95396,285.321,290.644,,,,
1.13476,1.13056,0.41352,1.95073,308.743,314.054,,,,
1.21809,1.21389,0.459495,1.95284,331.924,337.929,,,,
1.30143,1.29723,0.506865,1.95269,357.529,361.937,,,,
1.38476,1.38056,0.556483,1.93565,382.634,382.812,,,,
1.46809,1.46389,0.598377,1.94275,407.044,408.591,,,,
1.55143,1.54723,0.655128,1.95214,433.943,433.279,,,,
1.63476,1.63056,7.05E-01,1.94261,458.392,456.715,,,,
1.71809,1.71389,0.750778,1.9422,482.663,480.283,,,,
1.80143,1.79723,0.802294,1.94326,507.915,505.03,,,,
1.88476,1.88056,0.855469,1.94793,529.274,525.598,,,,
1.96809,1.96389,0.890134,1.95749,541.604,537.394,,,,
2.05143,2.04723,0.906218,1.95752,548.62,544.634,,,,
2.13476,2.13056,0.924581,1.96826,552.62,548.574,,,,
2.21809,2.21389,0.930615,1.95619,554.008,550.144,,,,
2.30143,2.29723,0.934332,1.96094,553.997,550.448,,,,
2.38476,2.38056,0.942872,1.96172,553.277,550.01,,,,
2.46809,2.46389,0.936083,1.95895,552.279,549.167,,,,
2.55143,2.54723,0.932178,1.96828,551.075,548.218,,,,
2.63476,2.63056,0.93295,1.95604,549.898,547.327,,,,
2.71809,2.71389,0.934195,1.97637,548.929,546.671,,,,
2.80143,2.79723,0.930961,1.9659,548.277,546.169,,,,
2.88476,2.88056,0.9257,1.97219,547.694,545.839,,,,
2.96809,2.96389,0.930214,1.96971,547.376,545.811,,,,
3.05143,3.04723,0.931893,1.96045,547.094,545.918,,,,
3.13476,3.13056,0.93323,1.96898,547.333,546.375,,,,
3.21809,3.21389,0.931187,1.97769,547.487,546.742,,,,
3.30143,3.29723,0.936438,1.96813,547.558,547.158,,,,
3.38476,3.38056,0.927181,1.96678,548.004,547.822,,,,
3.46809,3.46389,0.933015,1.96505,548.565,548.381,,,,
3.55143,3.54723,0.94119,1.97689,548.944,548.921,,,,
3.63476,3.63056,0.943389,1.97284,549.291,549.555,,,,
3.71809,3.71389,0.939485,1.97589,549.864,550.097,,,,
3.80143,3.79723,0.937194,1.97137,550.015,550.292,,,,
3.80866,3.80446,0.938446,1.97821,550.015,550.288,,,,
3.81613,3.81193,0,1.86695,550.012,550.32,,,,
3.81614,0,0.000777948,1.86552,550.012,550.32,,,,
3.81622,8.89E-05,0.00139749,2.24093,550.012,550.32,,,,
3.81625,0.000111111,0.00189456,2.6348,550.012,550.32,,,,
3.81627,0.000133333,0.00232003,3.01987,550.012,550.32,,,,
3.81629,0.000155556,0.00279776,3.40666,550.012,550.32,,,,
3.81631,0.000177778,0.00330715,3.77511,550.012,550.32,,,,
3.81634,0.0002,0.00381856,4.14286,550.012,550.32,,,,
3.81636,0.000222222,0.00433085,4.4967,550.012,550.321,,,,
3.81638,0.000244444,0.00486369,4.85065,550.012,550.321,,,,
3.81641,0.000269444,0.00232605,5.23105,550.012,550.321,,,,
3.81643,0.000294444,0.00526672,5.61358,550.019,550.321,,,,
3.81646,0.000319444,0.00551037,5.97538,550.019,550.321,,,,
3.81648,0.000344444,0.00393266,6.33844,550.019,550.321,,,,
3.81651,0.000369444,0.0073265,6.69246,550.019,550.321,,,,
3.81653,0.000394444,0.00591193,7.04727,550.019,550.321,,,,
3.81656,0.000419444,0.00588609,7.39908,550.019,550.321,,,,
3.81658,0.000447222,0.00600945,7.77708,550.019,550.321,,,,
3.81661,0.000475,0.008647,8.1527,550.019,550.321,,,,
3.81664,0.000502778,0.00898141,8.53905,550.019,550.321,,,,
3.81667,0.000530556,0.00743381,8.91498,550.019,550.321,,,,
3.81669,0.000558333,0.00828497,9.28562,550.019,550.321,,,,
3.81672,0.000586111,0.0103516,9.6588,550.024,550.321,,,,
3.81675,0.000613889,0.0102023,10.0249,550.024,550.321,,,,
3.81678,0.000641667,0.00916292,10.407,550.024,550.321,,,,
