Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
0,0,0.200000003,0,,0,0,0.140000001,0,,0,0,0.16,0,,0,0,0.200000003,0,,0.022222222,0.001966548,,,0,0,,,0,0,,,0.140000001,0,,,0.200000003,0
0.200000003,0.047663722,0.200001001,5.97E-11,,0.140000001,0.070462771,0.140000999,1.67E-10,,0.16,0.082731,0.160001,8.34E-07,,0.200000003,0.096046939,0.200001001,2.80E-10,,0.105555556,0.000973567,,,0.000555556,0.000938877,,,0.5,2.88E-05,,,0.140000999,4.86E-10,,,0.200001001,3.09E-10
0.200000003,0.047663722,0.200001061,6.34E-11,,0.140000001,0.070462771,0.140001997,3.35E-10,,0.16,0.082731,0.160002,1.09E-06,,0.200000003,0.096046939,0.200002,5.60E-10,,0.188888889,0.000992952,,,0.001111111,-0.000961548,,,1,4.77E-05,,,0.140001997,9.72E-10,,,0.200002,6.18E-10
0.200001001,0.047663961,0.200001121,6.72E-11,,0.140000999,0.070462771,0.140002996,5.02E-10,,0.160001,0.082734,0.160003,1.28E-06,,0.200001001,0.096046939,0.200002998,8.40E-10,,0.272222222,0.001927779,,,0.001666667,0,,,1.5,6.24E-05,,,0.140002996,1.48E-06,,,0.200002998,9.27E-10
0.200001061,0.047663961,0.200001225,7.28E-11,,0.140001997,0.070462771,0.140005007,8.37E-10,,0.160002,0.082734,0.160004,1.50E-06,,0.200002,0.096046939,0.20000501,1.40E-09,,0.355555556,0.001012336,,,0.002222222,0.000938877,,,2,7.48E-05,,,0.140003994,2.08E-06,,,0.20000501,1.54E-09
0.200001121,0.047663961,0.200001404,8.40E-11,,0.140002996,0.070462771,0.140009001,1.51E-09,,0.160003,0.082734,0.160007,1.76E-06,,0.200002998,0.096046939,0.200009003,2.52E-09,,0.438888889,0.004790415,,,0.002777778,0.000961548,,,2.5,8.56E-05,,,0.140005007,2.48E-06,,,0.200009003,2.78E-09
0.200001225,0.047663961,0.200001791,1.06E-10,,0.140005007,0.070462771,0.140017003,2.85E-09,,0.160004,0.082734,0.16001,2.07E-06,,0.20000501,0.096046939,0.200017005,4.76E-09,,0.522222222,0.0048098,,,0.003333333,0,,,3,9.53E-05,,,0.140006006,2.81E-06,,,0.200017005,5.25E-09
0.200001404,0.047663961,0.200002536,1.51E-10,,0.140009001,0.070462771,0.140033007,5.53E-09,,0.160007,0.082735,0.160015,2.42E-06,,0.200009003,0.096046954,0.200033009,9.24E-09,,0.605555556,0.003836203,,,0.003888889,0,,,3.5,0.000104119,,,0.140007004,3.09E-06,,,0.200033009,1.02E-08
0.200001791,0.047663961,0.200004041,2.41E-10,,0.140017003,0.070462771,0.140064999,1.09E-08,,0.16001,0.082735,0.160023,2.84E-06,,0.200017005,0.096046954,0.200065002,1.49E-07,,0.688888889,0.004771031,,,0.004444444,0.001934662,,,4,0.000112248,,,0.140008003,3.32E-06,,,0.200065002,4.66E-06
0.200002536,0.047663961,0.200007036,4.20E-10,,0.140033007,0.070462771,0.140129,2.74E-06,,0.160015,0.082735,0.160034,3.33E-06,,0.200033009,0.096046962,0.20009701,4.62E-06,,0.772222222,0.002901376,,,0.005,0,,,4.5,0.000119816,,,0.140009508,3.64E-06,,,0.200112998,7.16E-06
