Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep
0,0,0.2,0,,0,0,0.14,0,,0,0,0.162,0,,0,0,0.2,0
0.2,0.047664,0.200001,3.33E-10,,0.14,0.070463,0.140001,8.59E-10,,0.162,0.08277,0.162001,1.11E-09,,0.2,0.096047,0.200001,1.36E-09
0.2,0.047664,0.200001,3.54E-10,,0.14,0.070463,0.140002,1.72E-09,,0.162,0.08277,0.162002,2.22E-09,,0.2,0.096047,0.200002,2.72E-09
0.200001,0.047664,0.200001,3.75E-10,,0.140001,0.070463,0.140003,2.58E-09,,0.162001,0.08277,0.162003,3.33E-09,,0.200001,0.096047,0.200003,4.08E-09
0.200001,0.047664,0.200001,4.06E-10,,0.140002,0.070463,0.140005,4.30E-09,,0.162002,0.08277,0.162005,5.55E-09,,0.200002,0.096047,0.200005,6.11E-09
0.200001,0.047664,0.200001,4.53E-10,,0.140003,0.070463,0.140009,7.73E-09,,0.162003,0.08277,0.162009,9.98E-09,,0.200003,0.096047,0.200007,1.02E-08
0.200001,0.047664,0.200002,5.47E-10,,0.140005,0.070463,0.140017,1.46E-08,,0.162005,0.08277,0.162017,5.88E-06,,0.200005,0.096047,0.200014,7.27E-06
0.200001,0.047664,0.200002,7.35E-10,,0.140009,0.070463,0.140033,6.09E-06,,0.162009,0.08277,0.162029,9.36E-06,,0.200007,0.096047,0.200023,1.15E-05
0.200002,0.047664,0.200003,1.11E-09,,0.140017,0.070463,0.140057,9.13E-06,,0.162017,0.082776,0.162047,1.25E-05,,0.200014,0.096055,0.200036,1.53E-05
0.200002,0.047664,0.200006,1.86E-09,,0.140033,0.07047,0.140093,1.20E-05,,0.162029,0.082781,0.162074,1.57E-05,,0.200023,0.09606,0.200056,1.93E-05
0.200003,0.047664,0.20001,3.36E-09,,0.140057,0.070474,0.140147,1.51E-05,,0.162047,0.082785,0.162115,1.93E-05,,0.200036,0.096064,0.200077,2.23E-05
0.200006,0.047664,0.200019,6.36E-09,,0.140093,0.070477,0.140228,1.85E-05,,0.162074,0.082788,0.162175,2.34E-05,,0.200056,0.096069,0.200097,2.49E-05
0.20001,0.047664,0.200037,1.24E-08,,0.140147,0.070481,0.14035,2.24E-05,,0.162115,0.082793,0.162266,2.82E-05,,0.200077,0.096072,0.200127,2.82E-05
0.200019,0.047664,0.200073,4.03E-06,,0.140228,0.070484,0.140532,2.69E-05,,0.162175,0.082797,0.162403,3.37E-05,,0.200097,0.096075,0.200173,3.24E-05
0.200037,0.047664,0.200127,6.10E-06,,0.14035,0.070489,0.140805,3.22E-05,,0.162266,0.082803,0.162608,4.03E-05,,0.200127,0.096079,0.200241,3.75E-05
0.200073,0.047668,0.200208,8.04E-06,,0.140532,0.070494,0.141215,3.84E-05,,0.162403,0.082809,0.162916,4.80E-05,,0.200173,0.096084,0.200344,4.37E-05
0.200127,0.047671,0.20033,1.01E-05,,0.140805,0.0705,0.14183,4.58E-05,,0.162608,0.082817,0.163377,5.71E-05,,0.200241,0.09609,0.200497,5.12E-05
0.200208,0.047673,0.200512,1.24E-05,,0.141215,0.070507,0.142753,5.44E-05,,0.162916,0.082826,0.164069,6.78E-05,,0.200344,0.096098,0.200728,6.03E-05
0.20033,0.047675,0.200785,1.50E-05,,0.14183,0.070516,0.144137,6.47E-05,,0.163377,0.082837,0.165107,8.05E-05,,0.200497,0.096107,0.201074,7.11E-05
0.200512,0.047678,0.201195,1.81E-05,,0.142753,0.070526,0.146213,7.68E-05,,0.164069,0.08285,0.166664,9.56E-05,,0.200728,0.096118,0.201593,8.40E-05
0.200785,0.047681,0.20181,2.16E-05,,0.144137,0.070538,0.149327,9.12E-05,,0.165107,0.082864,0.168999,0.000113,,0.201074,0.096131,0.202371,9.95E-05
0.201195,0.047684,0.202733,2.58E-05,,0.146213,0.070552,0.153998,0.000108,,0.166664,0.082882,0.172502,0.000135,,0.201593,0.096147,0.203539,0.000118
